tripletId,ans1,ans2,ans3
t0000,a,a,b
t0001,b,a,a
t0002,a,a,a
t0003,b,a,b
t0004,b,b,b
t0005,a,a,a
t0006,a,a,a
t0007,a,a,a
t0008,a,a,a
t0009,a,a,b
t0010,b,a,a
t0011,a,a,b
t0012,a,a,b
t0013,b,b,a
t0014,b,b,a
t0015,a,a,b
t0016,a,a,b
t0017,b,b,a
t0018,a,a,a
t0019,a,a,b
t0020,a,a,b
t0021,a,a,a
t0022,a,a,a
t0023,b,b,a
t0024,b,b,a
t0025,a,a,a
t0026,a,a,a
t0027,a,b,b
t0028,a,a,b
t0029,a,a,a
t0030,a,a,b
t0031,a,a,b
t0032,a,a,b
t0033,b,b,b
t0034,b,b,a
t0035,a,a,b
t0036,a,a,b
t0037,a,a,a
t0038,a,a,a
t0039,a,b,b
t0040,a,a,b
t0041,a,a,a
t0042,a,a,a
t0043,b,b,a
t0044,a,b,b
t0045,a,b,a
t0046,a,a,b
t0047,a,a,b
t0048,a,a,b
t0049,a,a,b
t0050,a,a,a
t0051,a,a,b
t0052,a,a,b
t0053,b,b,a
t0054,b,b,a
t0055,a,a,b
t0056,a,b,b
t0057,a,b,a
t0058,a,a,b
t0059,a,a,b
t0060,a,a,a
t0061,a,a,a
t0062,a,a,b
t0063,b,b,a
t0064,b,b,b
t0065,a,a,a
t0066,b,a,a
t0067,b,a,a
t0068,a,a,a
t0069,a,a,a
t0070,a,a,a
t0071,a,a,b
t0072,a,a,a
t0073,b,b,a
t0074,b,b,a
t0075,a,b,b
t0076,a,a,b
t0077,b,a,b
t0078,a,a,a
t0079,a,a,b
t0080,a,a,a
t0081,a,a,b
t0082,a,a,a
t0083,a,b,b
t0084,b,b,b
t0085,a,a,a
t0086,b,a,a
t0087,b,b,a
t0088,a,a,a
t0089,a,b,a
t0090,a,a,a
t0091,a,a,b
t0092,a,a,b
t0093,b,b,b
t0094,b,b,a
t0095,a,a,b
t0096,a,a,b
t0097,a,b,b
t0098,a,a,a
t0099,a,a,b
t0100,a,a,b
t0101,a,a,a
t0102,a,a,a
t0103,b,b,a
t0104,b,b,a
t0105,a,a,a
t0106,b,a,a
t0107,a,a,a
t0108,a,a,b
t0109,a,a,a
t0110,a,a,b
t0111,a,a,a
t0112,a,a,a
t0113,a,b,a
t0114,b,b,a
t0115,a,a,b
t0116,a,a,b
t0117,a,b,a
t0118,a,b,a
t0119,b,b,b
t0120,a,a,b
t0121,a,a,a
t0122,a,a,a
t0123,b,b,b
t0124,b,b,b
t0125,a,a,a
t0126,a,a,a
t0127,b,b,b
t0128,a,a,b
t0129,a,a,b
t0130,a,a,a
t0131,a,a,b
t0132,a,a,b
t0133,b,b,a
t0134,b,b,a
t0135,a,a,a
t0136,a,a,b
t0137,a,a,b
t0138,a,a,a
t0139,a,a,b
t0140,b,a,b
t0141,a,a,a
t0142,a,a,b
t0143,b,b,b
t0144,b,b,a
t0145,a,a,a
t0146,a,a,a
t0147,b,a,a
t0148,a,a,b
t0149,b,a,a
t0150,a,a,a
t0151,a,a,b
t0152,a,a,b
t0153,b,b,a
t0154,b,b,a
t0155,a,a,b
t0156,a,a,b
t0157,a,a,a
t0158,a,a,b
t0159,a,a,a
t0160,a,a,a
t0161,a,a,a
t0162,a,a,a
t0163,b,b,b
t0164,b,b,b
t0165,a,a,a
t0166,a,a,a
t0167,a,b,a
t0168,a,a,a
t0169,a,a,a
t0170,a,a,a
t0171,a,a,b
t0172,a,a,b
t0173,b,b,b
t0174,b,b,a
t0175,a,a,b
t0176,b,a,b
t0177,b,a,a
t0178,a,a,a
t0179,a,a,a
t0180,a,a,a
t0181,a,a,a
t0182,a,a,a
t0183,b,b,a
t0184,b,b,a
t0185,a,a,a
t0186,a,a,a
t0187,a,b,b
t0188,a,a,a
t0189,a,a,a
t0190,b,b,b
t0191,b,a,a
t0192,a,a,b
t0193,b,a,a
t0194,b,b,a
t0195,b,a,b
t0196,b,a,b
t0197,a,a,a
t0198,a,a,a
t0199,a,a,b
t0200,a,a,b
t0201,a,a,a
t0202,a,a,a
t0203,b,b,a
t0204,b,b,b
t0205,a,b,a
t0206,a,a,a
t0207,a,a,b
t0208,a,b,b
t0209,a,a,b
t0210,a,a,a
t0211,a,a,a
t0212,a,a,b
t0213,b,b,b
t0214,b,b,b
t0215,a,a,b
t0216,a,a,a
t0217,b,a,b
t0218,a,a,a
t0219,a,b,b
t0220,a,a,b
t0221,a,a,b
t0222,a,a,b
t0223,a,b,b
t0224,b,b,b
t0225,a,a,a
t0226,a,a,a
t0227,b,a,a
t0228,a,a,b
t0229,a,b,a
t0230,b,a,a
t0231,a,a,b
t0232,a,a,b
t0233,b,b,a
t0234,b,b,a
t0235,a,a,b
t0236,a,a,b
t0237,a,b,a
t0238,a,a,b
t0239,b,b,a
t0240,a,a,a
t0241,a,a,a
t0242,a,a,a
t0243,b,a,b
t0244,b,b,b
t0245,a,a,a
t0246,b,a,a
t0247,a,a,a
t0248,a,a,a
t0249,a,a,a
t0250,a,a,a
t0251,a,a,b
t0252,a,a,b
t0253,a,b,a
t0254,b,b,a
t0255,a,a,b
t0256,a,a,b
t0257,a,a,b
t0258,a,a,a
t0259,a,a,b
t0260,a,a,b
t0261,a,a,a
t0262,a,a,a
t0263,b,b,a
t0264,b,b,a
t0265,a,a,a
t0266,b,a,a
t0267,a,b,b
t0268,a,a,b
t0269,b,a,a
t0270,a,a,b
t0271,a,b,a
t0272,a,a,b
t0273,b,b,b
t0274,a,b,a
t0275,a,a,b
t0276,b,a,b
t0277,b,a,a
t0278,a,a,a
t0279,a,a,b
t0280,a,a,b
t0281,a,a,a
t0282,a,a,a
t0283,b,b,b
t0284,b,b,b
t0285,a,a,a
t0286,a,a,b
t0287,b,a,b
t0288,a,a,b
t0289,a,a,b
t0290,a,a,a
t0291,a,a,b
t0292,a,a,b
t0293,b,b,a
t0294,b,b,a
t0295,a,a,a
t0296,b,a,a
t0297,b,b,a
t0298,a,a,a
t0299,b,a,b
t0300,a,a,b
t0301,a,a,a
t0302,a,a,b
t0303,b,b,b
t0304,b,b,b
t0305,a,a,b
t0306,b,a,a
t0307,a,b,a
t0308,a,a,b
t0309,b,a,a
t0310,a,a,a
t0311,a,a,a
t0312,a,a,b
t0313,b,b,a
t0314,b,b,a
t0315,a,a,b
t0316,b,a,b
t0317,b,a,a
t0318,a,a,b
t0319,a,a,a
t0320,a,a,b
t0321,a,a,a
t0322,a,a,a
t0323,b,b,b
t0324,b,b,b
t0325,a,a,a
t0326,a,a,a
t0327,a,b,a
t0328,a,a,a
t0329,a,a,b
t0330,b,b,a
t0331,a,a,b
t0332,a,a,a
t0333,b,b,b
t0334,b,b,a
t0335,a,a,b
t0336,a,a,b
t0337,b,b,b
t0338,a,a,a
t0339,a,a,a
t0340,a,a,a
t0341,a,a,a
t0342,a,a,a
t0343,b,b,a
t0344,a,b,a
t0345,a,a,b
t0346,b,a,a
t0347,a,a,b
t0348,a,a,a
t0349,a,a,a
t0350,a,a,b
t0351,a,a,a
t0352,a,a,b
t0353,a,b,b
t0354,b,b,a
t0355,a,a,b
t0356,a,a,b
t0357,a,b,a
t0358,a,a,a
t0359,a,a,b
t0360,a,a,b
t0361,a,a,a
t0362,a,a,a
t0363,b,b,b
t0364,b,b,b
t0365,a,a,a
t0366,b,a,a
t0367,b,a,b
t0368,a,a,b
t0369,a,a,a
t0370,a,a,a
t0371,a,a,a
t0372,a,a,b
t0373,b,b,a
t0374,b,b,a
t0375,a,a,b
t0376,a,a,a
t0377,a,b,a
t0378,a,a,a
t0379,a,a,b
t0380,a,a,b
t0381,a,a,b
t0382,a,a,b
t0383,a,b,a
t0384,b,b,b
t0385,a,a,b
t0386,a,a,a
t0387,b,a,a
t0388,a,a,b
t0389,a,a,a
t0390,a,a,b
t0391,a,a,a
t0392,a,a,b
t0393,a,b,a
t0394,b,b,a
t0395,a,a,b
t0396,b,a,a
t0397,a,a,a
t0398,a,a,b
t0399,a,b,b
t0400,a,a,a
t0401,a,a,a
t0402,a,a,a
t0403,b,b,b
t0404,b,b,b
t0405,a,a,a
t0406,a,b,a
t0407,b,a,a
t0408,a,a,a
t0409,a,a,b
t0410,a,b,a
t0411,a,b,b
t0412,b,a,b
t0413,b,b,a
t0414,a,b,a
t0415,a,a,b
t0416,b,a,b
t0417,b,b,b
t0418,a,a,a
t0419,a,b,b
t0420,a,a,b
t0421,a,a,a
t0422,b,a,a
t0423,b,a,a
t0424,b,b,a
t0425,a,a,a
t0426,b,a,a
t0427,a,a,b
t0428,a,a,a
t0429,a,a,a
t0430,a,a,b
t0431,b,a,a
t0432,a,a,b
t0433,a,a,b
t0434,b,b,a
t0435,a,a,b
t0436,a,a,b
t0437,b,a,a
t0438,a,a,a
t0439,b,b,b
t0440,a,a,b
t0441,a,a,a
t0442,a,a,a
t0443,b,b,a
t0444,a,b,b
t0445,a,a,a
t0446,a,b,b
t0447,a,b,b
t0448,a,a,b
t0449,b,b,b
t0450,a,a,a
t0451,a,a,b
t0452,b,a,b
t0453,b,b,a
t0454,b,b,a
t0455,a,a,b
t0456,a,a,a
t0457,b,b,a
t0458,a,a,a
t0459,a,b,b
t0460,a,a,a
t0461,a,a,b
t0462,a,a,b
t0463,b,b,b
t0464,a,b,b
t0465,a,a,a
t0466,a,a,a
t0467,a,a,b
t0468,a,a,b
t0469,a,a,b
t0470,a,a,a
t0471,a,a,b
t0472,a,a,b
t0473,b,b,a
t0474,b,b,a
t0475,a,a,a
t0476,a,b,b
t0477,a,b,a
t0478,a,a,a
t0479,b,b,a
t0480,a,a,a
t0481,a,a,a
t0482,a,a,a
t0483,b,b,b
t0484,a,a,b
t0485,a,a,a
t0486,b,a,a
t0487,a,b,a
t0488,a,a,a
t0489,b,b,b
t0490,a,a,a
t0491,a,a,b
t0492,a,b,b
t0493,a,a,a
t0494,b,b,a
t0495,a,a,b
t0496,b,a,b
t0497,b,a,b
t0498,a,a,a
t0499,b,a,b
t0500,a,a,b
t0501,a,a,a
t0502,a,a,a
t0503,b,b,a
t0504,a,b,a
t0505,a,a,b
t0506,b,a,a
t0507,a,a,a
t0508,a,a,a
t0509,a,b,a
t0510,a,a,b
t0511,a,a,a
t0512,b,a,b
t0513,b,b,a
t0514,b,b,a
t0515,a,a,b
t0516,b,b,b
t0517,a,a,a
t0518,a,a,a
t0519,a,a,b
t0520,b,a,b
t0521,a,a,a
t0522,a,a,a
t0523,b,b,b
t0524,b,b,b
t0525,a,a,a
t0526,b,b,b
t0527,a,b,a
t0528,a,a,b
t0529,a,a,b
t0530,a,a,a
t0531,a,a,b
t0532,a,a,b
t0533,b,b,a
t0534,b,b,b
t0535,a,a,a
t0536,a,a,a
t0537,b,a,a
t0538,a,b,a
t0539,a,b,b
t0540,a,a,a
t0541,a,a,a
t0542,a,b,b
t0543,b,a,b
t0544,a,a,b
t0545,a,a,a
t0546,b,a,a
t0547,b,b,a
t0548,a,a,b
t0549,b,a,a
t0550,a,a,a
t0551,a,a,b
t0552,a,a,b
t0553,b,b,a
t0554,b,b,a
t0555,a,a,b
t0556,b,a,b
t0557,a,a,a
t0558,a,a,a
t0559,a,b,b
t0560,a,a,b
t0561,a,b,a
t0562,a,a,a
t0563,b,a,b
t0564,b,b,b
t0565,a,b,a
t0566,b,a,a
t0567,a,a,a
t0568,a,a,a
t0569,a,a,b
t0570,b,a,b
t0571,a,a,b
t0572,b,a,b
t0573,b,b,a
t0574,b,b,a
t0575,a,a,b
t0576,a,a,b
t0577,b,b,b
t0578,a,a,a
t0579,a,b,b
t0580,a,a,a
t0581,a,a,a
t0582,a,a,a
t0583,b,b,a
t0584,b,b,a
t0585,a,a,a
t0586,b,a,a
t0587,a,a,b
t0588,a,a,a
t0589,a,b,a
t0590,a,a,b
t0591,a,a,a
t0592,a,b,a
t0593,a,b,b
t0594,b,b,b
t0595,a,a,b
t0596,a,a,b
t0597,b,b,a
t0598,a,b,a
t0599,a,a,b
t0600,a,a,b
t0601,a,b,a
t0602,a,a,a
t0603,b,b,b
t0604,b,b,b
t0605,a,a,a
t0606,a,b,a
t0607,a,a,b
t0608,a,a,b
t0609,b,b,b
t0610,a,a,a
t0611,a,a,b
t0612,a,a,b
t0613,b,b,a
t0614,b,b,a
t0615,a,a,b
t0616,b,a,b
t0617,b,b,b
t0618,a,a,a
t0619,a,b,b
t0620,a,a,a
t0621,a,a,a
t0622,a,a,b
t0623,b,b,a
t0624,b,b,b
t0625,a,a,a
t0626,a,a,a
t0627,a,a,a
t0628,a,a,b
t0629,a,b,a
t0630,a,a,a
t0631,a,b,b
t0632,a,a,b
t0633,b,b,a
t0634,b,b,b
t0635,a,a,a
t0636,a,a,b
t0637,b,b,a
t0638,a,a,a
t0639,b,a,b
t0640,a,a,a
t0641,a,b,a
t0642,a,a,a
t0643,b,b,b
t0644,b,b,b
t0645,a,a,a
t0646,a,a,a
t0647,b,a,a
t0648,a,a,a
t0649,a,b,b
t0650,a,a,a
t0651,a,a,a
t0652,a,a,b
t0653,a,b,a
t0654,b,a,a
t0655,a,a,b
t0656,a,a,b
t0657,a,a,a
t0658,a,a,a
t0659,a,a,b
